IDENTIFIER,PROPERTY: Normalizing temperature ($^\circ$C),PROPERTY: Through hardening temperature ($^\circ$C),PROPERTY: Through hardening time (hours),FORMULA,PROPERTY: Fatigue strength
22,865,865,30,C0.37Si0.24Mn0.72P0.015S0.02Ni0.02Cr0.02Cu0.02Mo0,433
23,865,865,30,C0.32Si0.21Mn0.63P0.007S0.017Ni0.06Cr0.1Cu0.08Mo0,379
24,865,865,30,C0.35Si0.21Mn0.77P0.021S0.022Ni0.01Cr0.01Cu0.02Mo0,382
25,865,865,30,C0.35Si0.3Mn0.74P0.017S0.024Ni0.01Cr0.1Cu0.01Mo0,385
26,865,865,30,C0.34Si0.26Mn0.74P0.012S0.015Ni0.01Cr0.02Cu0.01Mo0,365
27,865,865,30,C0.36Si0.26Mn0.7P0.009S0.023Ni0.08Cr0.12Cu0.09Mo0,379
28,865,865,30,C0.33Si0.21Mn0.75P0.031S0.019Ni0.01Cr0.03Cu0.02Mo0,377
29,865,865,30,C0.38Si0.29Mn0.7P0.01S0.03Ni0.06Cr0.09Cu0.11Mo0,394
30,865,865,30,C0.33Si0.26Mn0.76P0.023S0.013Ni0.01Cr0.1Cu0.03Mo0,425
31,865,865,30,C0.32Si0.26Mn0.73P0.015S0.019Ni0.02Cr0.02Cu0.03Mo0,395
32,865,865,30,C0.37Si0.27Mn0.78P0.016S0.02Ni0.01Cr0.11Cu0.02Mo0,393
33,865,865,30,C0.35Si0.25Mn0.82P0.016S0.023Ni0.03Cr0.01Cu0.01Mo0,375
34,865,865,30,C0.37Si0.24Mn0.72P0.015S0.02Ni0.02Cr0.02Cu0.02Mo0,389
35,865,865,30,C0.32Si0.21Mn0.63P0.007S0.017Ni0.06Cr0.1Cu0.08Mo0,358
36,865,865,30,C0.35Si0.21Mn0.77P0.021S0.022Ni0.01Cr0.01Cu0.02Mo0,344
37,865,865,30,C0.35Si0.3Mn0.74P0.017S0.024Ni0.01Cr0.1Cu0.01Mo0,369
38,865,865,30,C0.34Si0.26Mn0.74P0.012S0.015Ni0.01Cr0.02Cu0.01Mo0,325
39,865,865,30,C0.36Si0.26Mn0.7P0.009S0.023Ni0.08Cr0.12Cu0.09Mo0,338
40,865,865,30,C0.33Si0.21Mn0.75P0.031S0.019Ni0.01Cr0.03Cu0.02Mo0,362
41,865,865,30,C0.38Si0.29Mn0.7P0.01S0.03Ni0.06Cr0.09Cu0.11Mo0,361
42,865,865,30,C0.33Si0.26Mn0.76P0.023S0.013Ni0.01Cr0.1Cu0.03Mo0,385
43,865,865,30,C0.32Si0.26Mn0.73P0.015S0.019Ni0.02Cr0.02Cu0.03Mo0,348
44,865,865,30,C0.37Si0.27Mn0.78P0.016S0.02Ni0.01Cr0.11Cu0.02Mo0,368
45,865,865,30,C0.35Si0.25Mn0.82P0.016S0.023Ni0.03Cr0.01Cu0.01Mo0,341
46,865,865,30,C0.37Si0.24Mn0.72P0.015S0.02Ni0.02Cr0.02Cu0.02Mo0,365
47,865,865,30,C0.32Si0.21Mn0.63P0.007S0.017Ni0.06Cr0.1Cu0.08Mo0,325
48,845,845,30,C0.45Si0.25Mn0.79P0.018S0.016Ni0.02Cr0.13Cu0.02Mo0,513
49,845,845,30,C0.45Si0.26Mn0.76P0.027S0.019Ni0.01Cr0.11Cu0.02Mo0,448
