IDENTIFIER,PROPERTY: Normalizing temperature ($^\circ$C),PROPERTY: Through hardening temperature ($^\circ$C),PROPERTY: Through hardening time (hours),FORMULA,PROPERTY: Fatigue strength
22,865,865,30,C0.37Si0.24Mn0.72P0.015S0.02Ni0.02Cr0.02Cu0.02Mo0,433
23,865,865,30,C0.32Si0.21Mn0.63P0.007S0.017Ni0.06Cr0.1Cu0.08Mo0,379
24,865,865,30,C0.35Si0.21Mn0.77P0.021S0.022Ni0.01Cr0.01Cu0.02Mo0,382
25,865,865,30,C0.35Si0.3Mn0.74P0.017S0.024Ni0.01Cr0.1Cu0.01Mo0,385
26,865,865,30,C0.34Si0.26Mn0.74P0.012S0.015Ni0.01Cr0.02Cu0.01Mo0,365
27,865,865,30,C0.36Si0.26Mn0.7P0.009S0.023Ni0.08Cr0.12Cu0.09Mo0,379
28,865,865,30,C0.33Si0.21Mn0.75P0.031S0.019Ni0.01Cr0.03Cu0.02Mo0,377
29,865,865,30,C0.38Si0.29Mn0.7P0.01S0.03Ni0.06Cr0.09Cu0.11Mo0,394
30,865,865,30,C0.33Si0.26Mn0.76P0.023S0.013Ni0.01Cr0.1Cu0.03Mo0,425
31,865,865,30,C0.32Si0.26Mn0.73P0.015S0.019Ni0.02Cr0.02Cu0.03Mo0,395
32,865,865,30,C0.37Si0.27Mn0.78P0.016S0.02Ni0.01Cr0.11Cu0.02Mo0,393
33,865,865,30,C0.35Si0.25Mn0.82P0.016S0.023Ni0.03Cr0.01Cu0.01Mo0,375
34,865,865,30,C0.37Si0.24Mn0.72P0.015S0.02Ni0.02Cr0.02Cu0.02Mo0,389
35,865,865,30,C0.32Si0.21Mn0.63P0.007S0.017Ni0.06Cr0.1Cu0.08Mo0,358
36,865,865,30,C0.35Si0.21Mn0.77P0.021S0.022Ni0.01Cr0.01Cu0.02Mo0,344
37,865,865,30,C0.35Si0.3Mn0.74P0.017S0.024Ni0.01Cr0.1Cu0.01Mo0,369
38,865,865,30,C0.34Si0.26Mn0.74P0.012S0.015Ni0.01Cr0.02Cu0.01Mo0,325
39,865,865,30,C0.36Si0.26Mn0.7P0.009S0.023Ni0.08Cr0.12Cu0.09Mo0,338
40,865,865,30,C0.33Si0.21Mn0.75P0.031S0.019Ni0.01Cr0.03Cu0.02Mo0,362
41,865,865,30,C0.38Si0.29Mn0.7P0.01S0.03Ni0.06Cr0.09Cu0.11Mo0,361
42,865,865,30,C0.33Si0.26Mn0.76P0.023S0.013Ni0.01Cr0.1Cu0.03Mo0,385
43,865,865,30,C0.32Si0.26Mn0.73P0.015S0.019Ni0.02Cr0.02Cu0.03Mo0,348
44,865,865,30,C0.37Si0.27Mn0.78P0.016S0.02Ni0.01Cr0.11Cu0.02Mo0,368
45,865,865,30,C0.35Si0.25Mn0.82P0.016S0.023Ni0.03Cr0.01Cu0.01Mo0,341
46,865,865,30,C0.37Si0.24Mn0.72P0.015S0.02Ni0.02Cr0.02Cu0.02Mo0,365
47,865,865,30,C0.32Si0.21Mn0.63P0.007S0.017Ni0.06Cr0.1Cu0.08Mo0,325
48,845,845,30,C0.45Si0.25Mn0.79P0.018S0.016Ni0.02Cr0.13Cu0.02Mo0,513
49,845,845,30,C0.45Si0.26Mn0.76P0.027S0.019Ni0.01Cr0.11Cu0.02Mo0,448
50,845,845,30,C0.45Si0.24Mn0.71P0.01S0.009Ni0.12Cr0.06Cu0.13Mo0,465
51,845,845,30,C0.44Si0.24Mn0.82P0.021S0.021Ni0.03Cr0.02Cu0.02Mo0,446
52,845,845,30,C0.42Si0.22Mn0.78P0.022S0.02Ni0.01Cr0.02Cu0.03Mo0,437
53,845,845,30,C0.48Si0.25Mn0.75P0.024S0.022Ni0.02Cr0.1Cu0.01Mo0,502
54,845,845,30,C0.47Si0.25Mn0.72P0.015S0.01Ni0.13Cr0.04Cu0.04Mo0,465
55,845,845,30,C0.43Si0.22Mn0.83P0.017S0.016Ni0.01Cr0.12Cu0.01Mo0,475
56,845,845,30,C0.49Si0.26Mn0.8P0.027S0.023Ni0.02Cr0.09Cu0.01Mo0,504
57,845,845,30,C0.45Si0.25Mn0.79P0.011S0.025Ni0.12Cr0.04Cu0.15Mo0,486
58,845,845,30,C0.42Si0.26Mn0.7P0.024S0.01Ni0.01Cr0.1Cu0.01Mo0,452
59,845,845,30,C0.45Si0.25Mn0.79P0.018S0.016Ni0.02Cr0.13Cu0.02Mo0,459
60,845,845,30,C0.45Si0.26Mn0.76P0.027S0.019Ni0.01Cr0.11Cu0.02Mo0,415
61,845,845,30,C0.45Si0.24Mn0.71P0.01S0.009Ni0.12Cr0.06Cu0.13Mo0,437
62,845,845,30,C0.44Si0.24Mn0.82P0.021S0.021Ni0.03Cr0.02Cu0.02Mo0,415
63,845,845,30,C0.42Si0.22Mn0.78P0.022S0.02Ni0.01Cr0.02Cu0.03Mo0,401
64,845,845,30,C0.48Si0.25Mn0.75P0.024S0.022Ni0.02Cr0.1Cu0.01Mo0,463
65,845,845,30,C0.47Si0.25Mn0.72P0.015S0.01Ni0.13Cr0.04Cu0.04Mo0,442
66,845,845,30,C0.43Si0.22Mn0.83P0.017S0.016Ni0.01Cr0.12Cu0.01Mo0,438
67,845,845,30,C0.49Si0.26Mn0.8P0.027S0.023Ni0.02Cr0.09Cu0.01Mo0,468
68,845,845,30,C0.45Si0.25Mn0.79P0.011S0.025Ni0.12Cr0.04Cu0.15Mo0,452
69,845,845,30,C0.42Si0.26Mn0.7P0.024S0.01Ni0.01Cr0.1Cu0.01Mo0,422
70,845,845,30,C0.45Si0.25Mn0.79P0.018S0.016Ni0.02Cr0.13Cu0.02Mo0,413
71,845,845,30,C0.45Si0.26Mn0.76P0.027S0.019Ni0.01Cr0.11Cu0.02Mo0,395
72,845,845,30,C0.45Si0.24Mn0.71P0.01S0.009Ni0.12Cr0.06Cu0.13Mo0,398
73,845,845,30,C0.44Si0.24Mn0.82P0.021S0.021Ni0.03Cr0.02Cu0.02Mo0,378
74,845,845,30,C0.42Si0.22Mn0.78P0.022S0.02Ni0.01Cr0.02Cu0.03Mo0,372
75,845,845,30,C0.48Si0.25Mn0.75P0.024S0.022Ni0.02Cr0.1Cu0.01Mo0,415
76,845,845,30,C0.47Si0.25Mn0.72P0.015S0.01Ni0.13Cr0.04Cu0.04Mo0,396
77,845,845,30,C0.43Si0.22Mn0.83P0.017S0.016Ni0.01Cr0.12Cu0.01Mo0,388
78,845,845,30,C0.49Si0.26Mn0.8P0.027S0.023Ni0.02Cr0.09Cu0.01Mo0,415
79,845,845,30,C0.45Si0.25Mn0.79P0.011S0.025Ni0.12Cr0.04Cu0.15Mo0,398
80,845,845,30,C0.42Si0.26Mn0.7P0.024S0.01Ni0.01Cr0.1Cu0.01Mo0,382
81,825,825,30,C0.55Si0.23Mn0.76P0.018S0.012Ni0.01Cr0.09Cu0.01Mo0,523
82,825,825,30,C0.54Si0.26Mn0.76P0.022S0.021Ni0.02Cr0.12Cu0.01Mo0,534
83,825,825,30,C0.52Si0.29Mn0.83P0.016S0.025Ni0.04Cr0.04Cu0.02Mo0,489
84,825,825,30,C0.56Si0.26Mn0.37P0.019S0.026Ni0.04Cr0.13Cu0.11Mo0,500
85,825,825,30,C0.54Si0.2Mn0.75P0.013S0.019Ni0.01Cr0.01Cu0.01Mo0,495
86,825,825,30,C0.57Si0.23Mn0.74P0.018S0.017Ni0.01Cr0.12Cu0.02Mo0,522
87,825,825,30,C0.53Si0.3Mn0.83P0.019S0.026Ni0.02Cr0.12Cu0.01Mo0,531
88,825,825,30,C0.57Si0.3Mn0.82P0.024S0.022Ni0.02Cr0.1Cu0.01Mo0,533
89,825,825,30,C0.56Si0.25Mn0.68P0.009S0.023Ni0.03Cr0.1Cu0.03Mo0,492
90,825,825,30,C0.52Si0.21Mn0.8P0.021S0.021Ni0.02Cr0.1Cu0.02Mo0,505
91,825,825,30,C0.54Si0.27Mn0.7P0.017S0.02Ni0.06Cr0.1Cu0.22Mo0,541
92,825,825,30,C0.55Si0.23Mn0.76P0.018S0.012Ni0.01Cr0.09Cu0.01Mo0,468
93,825,825,30,C0.54Si0.26Mn0.76P0.022S0.021Ni0.02Cr0.12Cu0.01Mo0,459
94,825,825,30,C0.52Si0.29Mn0.83P0.016S0.025Ni0.04Cr0.04Cu0.02Mo0,444
95,825,825,30,C0.56Si0.26Mn0.37P0.019S0.026Ni0.04Cr0.13Cu0.11Mo0,458
96,825,825,30,C0.54Si0.2Mn0.75P0.013S0.019Ni0.01Cr0.01Cu0.01Mo0,445
97,825,825,30,C0.57Si0.23Mn0.74P0.018S0.017Ni0.01Cr0.12Cu0.02Mo0,464
98,825,825,30,C0.53Si0.3Mn0.83P0.019S0.026Ni0.02Cr0.12Cu0.01Mo0,466
99,825,825,30,C0.57Si0.3Mn0.82P0.024S0.022Ni0.02Cr0.1Cu0.01Mo0,486
100,825,825,30,C0.56Si0.25Mn0.68P0.009S0.023Ni0.03Cr0.1Cu0.03Mo0,461
101,825,825,30,C0.52Si0.21Mn0.8P0.021S0.021Ni0.02Cr0.1Cu0.02Mo0,464
102,825,825,30,C0.54Si0.27Mn0.7P0.017S0.02Ni0.06Cr0.1Cu0.22Mo0,475
103,825,825,30,C0.55Si0.23Mn0.76P0.018S0.012Ni0.01Cr0.09Cu0.01Mo0,419
104,825,825,30,C0.54Si0.26Mn0.76P0.022S0.021Ni0.02Cr0.12Cu0.01Mo0,418
105,825,825,30,C0.52Si0.29Mn0.83P0.016S0.025Ni0.04Cr0.04Cu0.02Mo0,402
106,825,825,30,C0.56Si0.26Mn0.37P0.019S0.026Ni0.04Cr0.13Cu0.11Mo0,398
107,825,825,30,C0.54Si0.2Mn0.75P0.013S0.019Ni0.01Cr0.01Cu0.01Mo0,411
108,825,825,30,C0.57Si0.23Mn0.74P0.018S0.017Ni0.01Cr0.12Cu0.02Mo0,428
109,825,825,30,C0.53Si0.3Mn0.83P0.019S0.026Ni0.02Cr0.12Cu0.01Mo0,415
110,825,825,30,C0.57Si0.3Mn0.82P0.024S0.022Ni0.02Cr0.1Cu0.01Mo0,425
111,825,825,30,C0.56Si0.25Mn0.68P0.009S0.023Ni0.03Cr0.1Cu0.03Mo0,412
112,825,825,30,C0.52Si0.21Mn0.8P0.021S0.021Ni0.02Cr0.1Cu0.02Mo0,410
113,825,825,30,C0.54Si0.27Mn0.7P0.017S0.02Ni0.06Cr0.1Cu0.22Mo0,415
114,870,855,30,C0.43Si0.24Mn0.74P0.022S0.013Ni0.03Cr1.12Cu0.02Mo0,582
115,870,855,30,C0.42Si0.27Mn0.71P0.01S0.008Ni0.02Cr0.96Cu0.04Mo0,524
116,870,855,30,C0.4Si0.31Mn0.78P0.012S0.01Ni0.07Cr1.1Cu0.13Mo0,583
117,870,855,30,C0.42Si0.22Mn0.72P0.016S0.014Ni0.03Cr1.06Cu0.01Mo0,569
118,870,855,30,C0.39Si0.25Mn0.73P0.011S0.005Ni0.06Cr0.98Cu0.11Mo0,536
119,870,855,30,C0.42Si0.32Mn0.81P0.014S0.007Ni0.03Cr1.09Cu0.04Mo0,577
120,870,855,30,C0.42Si0.26Mn0.78P0.01S0.004Ni0.04Cr0.94Cu0.05Mo0,565
121,870,855,30,C0.4Si0.32Mn0.79P0.013S0.011Ni0.05Cr1.09Cu0.04Mo0,562
122,870,855,30,C0.43Si0.24Mn0.74P0.022S0.013Ni0.03Cr1.12Cu0.02Mo0,522
123,870,855,30,C0.42Si0.27Mn0.71P0.01S0.008Ni0.02Cr0.96Cu0.04Mo0,504
124,870,855,30,C0.4Si0.31Mn0.78P0.012S0.01Ni0.07Cr1.1Cu0.13Mo0,516
125,870,855,30,C0.42Si0.22Mn0.72P0.016S0.014Ni0.03Cr1.06Cu0.01Mo0,517
126,870,855,30,C0.39Si0.25Mn0.73P0.011S0.005Ni0.06Cr0.98Cu0.11Mo0,511
127,870,855,30,C0.42Si0.32Mn0.81P0.014S0.007Ni0.03Cr1.09Cu0.04Mo0,518
128,870,855,30,C0.42Si0.26Mn0.78P0.01S0.004Ni0.04Cr0.94Cu0.05Mo0,524
129,870,855,30,C0.4Si0.32Mn0.79P0.013S0.011Ni0.05Cr1.09Cu0.04Mo0,503
130,870,855,30,C0.43Si0.24Mn0.74P0.022S0.013Ni0.03Cr1.12Cu0.02Mo0,483
131,870,855,30,C0.42Si0.27Mn0.71P0.01S0.008Ni0.02Cr0.96Cu0.04Mo0,457
132,870,855,30,C0.4Si0.31Mn0.78P0.012S0.01Ni0.07Cr1.1Cu0.13Mo0,482
133,870,855,30,C0.42Si0.22Mn0.72P0.016S0.014Ni0.03Cr1.06Cu0.01Mo0,470
134,870,855,30,C0.39Si0.25Mn0.73P0.011S0.005Ni0.06Cr0.98Cu0.11Mo0,459
135,870,855,30,C0.42Si0.32Mn0.81P0.014S0.007Ni0.03Cr1.09Cu0.04Mo0,490
136,870,855,30,C0.42Si0.26Mn0.78P0.01S0.004Ni0.04Cr0.94Cu0.05Mo0,485
137,870,855,30,C0.4Si0.32Mn0.79P0.013S0.011Ni0.05Cr1.09Cu0.04Mo0,483
138,870,855,30,C0.36Si0.3Mn0.73P0.017S0.016Ni0.05Cr1.01Cu0.19Mo0.16,587
139,870,855,30,C0.35Si0.3Mn0.7P0.019S0.012Ni0.02Cr1.03Cu0.01Mo0.15,571
140,870,855,30,C0.36Si0.27Mn0.79P0.012S0.007Ni0.03Cr1.03Cu0.04Mo0.17,578
141,870,855,30,C0.36Si0.23Mn0.81P0.014S0.022Ni0.05Cr0.99Cu0.08Mo0.16,526
142,870,855,30,C0.34Si0.25Mn0.72P0.019S0.011Ni0.12Cr1.01Cu0.1Mo0.17,535
143,870,855,30,C0.36Si0.35Mn0.74P0.016S0.02Ni0.05Cr0.97Cu0.12Mo0.15,572
144,870,855,30,C0.37Si0.23Mn0.82P0.012S0.017Ni0.04Cr1.09Cu0.05Mo0.16,562
145,870,855,30,C0.35Si0.25Mn0.8P0.02S0.017Ni0.08Cr0.99Cu0.18Mo0.19,563
146,870,855,30,C0.35Si0.25Mn0.71P0.02S0.013Ni0.02Cr1.06Cu0.02Mo0.17,583
147,870,855,30,C0.33Si0.27Mn0.69P0.015S0.008Ni0.04Cr0.99Cu0.05Mo0.18,585
148,870,855,30,C0.35Si0.25Mn0.7P0.026S0.018Ni0.01Cr1Cu0.02Mo0.16,592
149,870,855,30,C0.37Si0.29Mn0.76P0.017S0.009Ni0.12Cr1.01Cu0.12Mo0.16,573
150,870,855,30,C0.38Si0.27Mn0.8P0.015S0.012Ni0.07Cr1.07Cu0.12Mo0.16,536
151,870,855,30,C0.34Si0.29Mn0.71P0.019S0.013Ni0.11Cr1.05Cu0.12Mo0.16,557
152,870,855,30,C0.36Si0.3Mn0.73P0.017S0.016Ni0.05Cr1.01Cu0.19Mo0.16,552
153,870,855,30,C0.35Si0.3Mn0.7P0.019S0.012Ni0.02Cr1.03Cu0.01Mo0.15,519
154,870,855,30,C0.36Si0.27Mn0.79P0.012S0.007Ni0.03Cr1.03Cu0.04Mo0.17,524
155,870,855,30,C0.36Si0.23Mn0.81P0.014S0.022Ni0.05Cr0.99Cu0.08Mo0.16,508
156,870,855,30,C0.34Si0.25Mn0.72P0.019S0.011Ni0.12Cr1.01Cu0.1Mo0.17,490
157,870,855,30,C0.36Si0.35Mn0.74P0.016S0.02Ni0.05Cr0.97Cu0.12Mo0.15,550
158,870,855,30,C0.37Si0.23Mn0.82P0.012S0.017Ni0.04Cr1.09Cu0.05Mo0.16,515
159,870,855,30,C0.35Si0.25Mn0.8P0.02S0.017Ni0.08Cr0.99Cu0.18Mo0.19,530
160,870,855,30,C0.35Si0.25Mn0.71P0.02S0.013Ni0.02Cr1.06Cu0.02Mo0.17,546
161,870,855,30,C0.33Si0.27Mn0.69P0.015S0.008Ni0.04Cr0.99Cu0.05Mo0.18,535
162,870,855,30,C0.35Si0.25Mn0.7P0.026S0.018Ni0.01Cr1Cu0.02Mo0.16,550
163,870,855,30,C0.37Si0.29Mn0.76P0.017S0.009Ni0.12Cr1.01Cu0.12Mo0.16,542
164,870,855,30,C0.38Si0.27Mn0.8P0.015S0.012Ni0.07Cr1.07Cu0.12Mo0.16,592
165,870,855,30,C0.34Si0.29Mn0.71P0.019S0.013Ni0.11Cr1.05Cu0.12Mo0.16,524
166,870,855,30,C0.36Si0.3Mn0.73P0.017S0.016Ni0.05Cr1.01Cu0.19Mo0.16,497
167,870,855,30,C0.35Si0.3Mn0.7P0.019S0.012Ni0.02Cr1.03Cu0.01Mo0.15,491
168,870,855,30,C0.36Si0.27Mn0.79P0.012S0.007Ni0.03Cr1.03Cu0.04Mo0.17,463
169,870,855,30,C0.36Si0.23Mn0.81P0.014S0.022Ni0.05Cr0.99Cu0.08Mo0.16,464
170,870,855,30,C0.34Si0.25Mn0.72P0.019S0.011Ni0.12Cr1.01Cu0.1Mo0.17,459
171,870,855,30,C0.36Si0.35Mn0.74P0.016S0.02Ni0.05Cr0.97Cu0.12Mo0.15,489
172,870,855,30,C0.37Si0.23Mn0.82P0.012S0.017Ni0.04Cr1.09Cu0.05Mo0.16,477
173,870,855,30,C0.35Si0.25Mn0.8P0.02S0.017Ni0.08Cr0.99Cu0.18Mo0.19,469
174,870,855,30,C0.35Si0.25Mn0.71P0.02S0.013Ni0.02Cr1.06Cu0.02Mo0.17,496
175,870,855,30,C0.33Si0.27Mn0.69P0.015S0.008Ni0.04Cr0.99Cu0.05Mo0.18,467
176,870,855,30,C0.35Si0.25Mn0.7P0.026S0.018Ni0.01Cr1Cu0.02Mo0.16,511
177,870,855,30,C0.37Si0.29Mn0.76P0.017S0.009Ni0.12Cr1.01Cu0.12Mo0.16,490
178,870,855,30,C0.38Si0.27Mn0.8P0.015S0.012Ni0.07Cr1.07Cu0.12Mo0.16,523
179,870,855,30,C0.34Si0.29Mn0.71P0.019S0.013Ni0.11Cr1.05Cu0.12Mo0.16,476
180,870,855,30,C0.41Si0.24Mn0.77P0.014S0.015Ni0.04Cr1.06Cu0.05Mo0.2,610
181,870,855,30,C0.39Si0.27Mn0.86P0.019S0.008Ni0.1Cr0.96Cu0.12Mo0.17,581
182,870,855,30,C0.43Si0.26Mn0.74P0.019S0.012Ni0.02Cr1.07Cu0.02Mo0.22,625
183,870,855,30,C0.4Si0.26Mn0.77P0.018S0.005Ni0.05Cr0.98Cu0.13Mo0.17,562
184,870,855,30,C0.41Si0.24Mn0.8P0.015S0.024Ni0.03Cr1.02Cu0.1Mo0.18,635
185,870,855,30,C0.41Si0.25Mn0.74P0.013S0.019Ni0.05Cr0.99Cu0.08Mo0.16,566
186,870,855,30,C0.39Si0.28Mn0.77P0.021S0.018Ni0.09Cr1.08Cu0.15Mo0.19,638
187,870,855,30,C0.37Si0.24Mn0.69P0.018S0.016Ni0.02Cr1Cu0.02Mo0.19,606
188,870,855,30,C0.42Si0.29Mn0.77P0.015S0.017Ni0.12Cr1.1Cu0.09Mo0.15,582
189,870,855,30,C0.42Si0.28Mn0.75P0.015S0.008Ni0.07Cr1.04Cu0.12Mo0.17,634
190,870,855,30,C0.4Si0.26Mn0.74P0.024S0.017Ni0.13Cr1.01Cu0.15Mo0.17,585
191,870,855,30,C0.4Si0.25Mn0.87P0.011S0.015Ni0.07Cr1.06Cu0.11Mo0.18,603
192,870,855,30,C0.4Si0.22Mn0.7P0.01S0.004Ni0.04Cr0.94Cu0.12Mo0.17,625
193,870,855,30,C0.4Si0.25Mn0.74P0.014S0.028Ni0.24Cr0.96Cu0.1Mo0.18,631
194,870,855,30,C0.44Si0.26Mn0.75P0.017S0.012Ni0.02Cr1.05Cu0.02Mo0.21,625
195,870,855,30,C0.41Si0.24Mn0.77P0.014S0.015Ni0.04Cr1.06Cu0.05Mo0.2,551
196,870,855,30,C0.39Si0.27Mn0.86P0.019S0.008Ni0.1Cr0.96Cu0.12Mo0.17,539
197,870,855,30,C0.43Si0.26Mn0.74P0.019S0.012Ni0.02Cr1.07Cu0.02Mo0.22,564
198,870,855,30,C0.4Si0.26Mn0.77P0.018S0.005Ni0.05Cr0.98Cu0.13Mo0.17,550
199,870,855,30,C0.41Si0.24Mn0.8P0.015S0.024Ni0.03Cr1.02Cu0.1Mo0.18,590
200,870,855,30,C0.41Si0.25Mn0.74P0.013S0.019Ni0.05Cr0.99Cu0.08Mo0.16,527
201,870,855,30,C0.39Si0.28Mn0.77P0.021S0.018Ni0.09Cr1.08Cu0.15Mo0.19,557
202,870,855,30,C0.37Si0.24Mn0.69P0.018S0.016Ni0.02Cr1Cu0.02Mo0.19,551
203,870,855,30,C0.42Si0.29Mn0.77P0.015S0.017Ni0.12Cr1.1Cu0.09Mo0.15,583
204,870,855,30,C0.42Si0.28Mn0.75P0.015S0.008Ni0.07Cr1.04Cu0.12Mo0.17,570
205,870,855,30,C0.4Si0.26Mn0.74P0.024S0.017Ni0.13Cr1.01Cu0.15Mo0.17,543
206,870,855,30,C0.4Si0.25Mn0.87P0.011S0.015Ni0.07Cr1.06Cu0.11Mo0.18,543
207,870,855,30,C0.4Si0.22Mn0.7P0.01S0.004Ni0.04Cr0.94Cu0.12Mo0.17,563
208,870,855,30,C0.4Si0.25Mn0.74P0.014S0.028Ni0.24Cr0.96Cu0.1Mo0.18,577
209,870,855,30,C0.44Si0.26Mn0.75P0.017S0.012Ni0.02Cr1.05Cu0.02Mo0.21,578
210,870,855,30,C0.41Si0.24Mn0.77P0.014S0.015Ni0.04Cr1.06Cu0.05Mo0.2,490
211,870,855,30,C0.39Si0.27Mn0.86P0.019S0.008Ni0.1Cr0.96Cu0.12Mo0.17,496
212,870,855,30,C0.43Si0.26Mn0.74P0.019S0.012Ni0.02Cr1.07Cu0.02Mo0.22,511
213,870,855,30,C0.4Si0.26Mn0.77P0.018S0.005Ni0.05Cr0.98Cu0.13Mo0.17,494
214,870,855,30,C0.41Si0.24Mn0.8P0.015S0.024Ni0.03Cr1.02Cu0.1Mo0.18,517
215,870,855,30,C0.41Si0.25Mn0.74P0.013S0.019Ni0.05Cr0.99Cu0.08Mo0.16,480
216,870,855,30,C0.39Si0.28Mn0.77P0.021S0.018Ni0.09Cr1.08Cu0.15Mo0.19,502
217,870,855,30,C0.37Si0.24Mn0.69P0.018S0.016Ni0.02Cr1Cu0.02Mo0.19,504
218,870,855,30,C0.42Si0.29Mn0.77P0.015S0.017Ni0.12Cr1.1Cu0.09Mo0.15,505
219,870,855,30,C0.42Si0.28Mn0.75P0.015S0.008Ni0.07Cr1.04Cu0.12Mo0.17,502
220,870,855,30,C0.4Si0.26Mn0.74P0.024S0.017Ni0.13Cr1.01Cu0.15Mo0.17,496
221,870,855,30,C0.4Si0.25Mn0.87P0.011S0.015Ni0.07Cr1.06Cu0.11Mo0.18,501
222,870,855,30,C0.4Si0.22Mn0.7P0.01S0.004Ni0.04Cr0.94Cu0.12Mo0.17,517
223,870,855,30,C0.4Si0.25Mn0.74P0.014S0.028Ni0.24Cr0.96Cu0.1Mo0.18,523
224,870,855,30,C0.44Si0.26Mn0.75P0.017S0.012Ni0.02Cr1.05Cu0.02Mo0.21,516
225,870,845,30,C0.39Si0.22Mn1.57P0.017S0.018Ni0.05Cr0.13Cu0.06Mo0,486
226,870,845,30,C0.38Si0.27Mn1.52P0.012S0.007Ni0.03Cr0.13Cu0.07Mo0,427
227,870,845,30,C0.4Si0.25Mn1.34P0.017S0.015Ni0.02Cr0.13Cu0.02Mo0,510
228,870,845,30,C0.4Si0.22Mn1.56P0.011S0.019Ni0.06Cr0.09Cu0.05Mo0,451
229,870,845,30,C0.41Si0.24Mn1.51P0.02S0.008Ni0.04Cr0.22Cu0.08Mo0,425
230,870,845,30,C0.38Si0.21Mn1.59P0.017S0.015Ni0.03Cr0.2Cu0.05Mo0,432
231,870,845,30,C0.4Si0.25Mn1.38P0.017S0.012Ni0.02Cr0.03Cu0.02Mo0,482
232,870,845,30,C0.39Si0.22Mn1.57P0.017S0.018Ni0.05Cr0.13Cu0.06Mo0,435
233,870,845,30,C0.38Si0.27Mn1.52P0.012S0.007Ni0.03Cr0.13Cu0.07Mo0,406
234,870,845,30,C0.4Si0.25Mn1.34P0.017S0.015Ni0.02Cr0.13Cu0.02Mo0,470
235,870,845,30,C0.4Si0.22Mn1.56P0.011S0.019Ni0.06Cr0.09Cu0.05Mo0,438
236,870,845,30,C0.41Si0.24Mn1.51P0.02S0.008Ni0.04Cr0.22Cu0.08Mo0,404
237,870,845,30,C0.38Si0.21Mn1.59P0.017S0.015Ni0.03Cr0.2Cu0.05Mo0,406
238,870,845,30,C0.4Si0.25Mn1.38P0.017S0.012Ni0.02Cr0.03Cu0.02Mo0,443
239,870,845,30,C0.39Si0.22Mn1.57P0.017S0.018Ni0.05Cr0.13Cu0.06Mo0,397
240,870,845,30,C0.38Si0.27Mn1.52P0.012S0.007Ni0.03Cr0.13Cu0.07Mo0,385
241,870,845,30,C0.4Si0.25Mn1.34P0.017S0.015Ni0.02Cr0.13Cu0.02Mo0,425
242,870,845,30,C0.4Si0.22Mn1.56P0.011S0.019Ni0.06Cr0.09Cu0.05Mo0,396
243,870,845,30,C0.41Si0.24Mn1.51P0.02S0.008Ni0.04Cr0.22Cu0.08Mo0,380
